organization,name,full_name,stargazers_count,language,created_at,updated_at,homepage,fork,description
mysociety,hearfromyourmp,mysociety/hearfromyourmp,2,PHP,2009-12-10T10:47:46Z,2015-02-05T12:22:25Z,http://www.hearfromyourmp.com/,False,Constituency mailing list 
mysociety,writetothem,mysociety/writetothem,30,PHP,2010-01-19T11:17:22Z,2015-09-02T22:55:04Z,http://www.writetothem.com,False,"Write to your MP, MEP, & other elected representatives."
mysociety,fixmystreet,mysociety/fixmystreet,242,Perl,2010-01-25T11:54:20Z,2015-11-18T03:37:09Z,http://fixmystreet.org/,False,This is mySociety's popular map-based reporting platform: easy to install in new countries and regions
mysociety,theyworkforyou,mysociety/theyworkforyou,71,Python,2010-02-03T15:22:29Z,2015-11-16T12:28:35Z,http://www.theyworkforyou.com/,False,Keeping tabs on the UK's parliaments and assemblies
mysociety,pledgebank,mysociety/pledgebank,14,PHP,2010-02-04T11:10:20Z,2015-09-26T23:22:37Z,http://www.pledgebank.com/,False,"""I’ll do it, but only if you’ll help"""
mysociety,fixmytransport,mysociety/fixmytransport,39,Ruby,2010-04-06T07:44:53Z,2015-11-05T06:05:57Z,http://www.mysociety.org/2010/03/15/mysocietys-next-12-months-fixmytransport-and-project-fosbury/,False,A site focussed on connecting and empowering people who share transport problems of different kinds.
mysociety,petitions,mysociety/petitions,19,CSS,2010-05-06T13:28:06Z,2015-03-31T12:58:50Z,,False,"Petitions website code, formerly used by Number 10, still used by various local councils"
mysociety,funnels,mysociety/funnels,16,PHP,2010-05-20T11:41:39Z,2014-11-09T09:13:33Z,http://mysociety.org,False,"Piwik plugin that allows the definition, analysis and visualisation of funnels associated with goals."
mysociety,mapit,mysociety/mapit,181,Python,2010-06-22T16:36:01Z,2015-11-10T10:29:37Z,,False,A web service to map postcodes to administrative boundaries and more
mysociety,fosbury,mysociety/fosbury,2,Ruby,2010-07-21T14:07:22Z,2014-03-09T00:09:48Z,http://www.mysociety.org,False,A modular platform for breaking down a complicated civic task into pieces which can then be allocated to one or more people.
mysociety,binalerts,mysociety/binalerts,3,Python,2010-09-22T12:23:52Z,2014-02-27T10:08:29Z,http://www.mysociety.org/,False,Bin collection times
mysociety,barnetplanning,mysociety/barnetplanning,1,Python,2010-09-28T10:15:18Z,2014-04-16T09:30:39Z,,False,Barnet planning alerts
mysociety,abtests,mysociety/abtests,9,,2010-11-02T13:28:11Z,2015-06-04T09:06:28Z,http://mysociety.org,False,A piwik plugin to allow A/B testing
mysociety,alaveteli,mysociety/alaveteli,162,Ruby,2010-11-30T13:11:39Z,2015-11-17T14:46:20Z,http://alaveteli.org,False,Provide a Freedom of Information request system for your jurisdiction
mysociety,fmsgame,mysociety/fmsgame,2,Python,2011-01-04T13:32:20Z,2014-11-15T17:45:18Z,,False,A game where people can get points for reporting on the status of FixMyStreet issues.
mysociety,commonlib,mysociety/commonlib,16,PHP,2011-02-28T16:41:45Z,2015-11-04T18:50:14Z,,False,mySociety code common to several projects
mysociety,scenicornot,mysociety/scenicornot,1,PHP,2011-03-14T16:03:03Z,2015-06-13T14:22:29Z,http://scenic.mysociety.org,False,Rate Great Britain's pretty places
mysociety,ukonlinetutordb,mysociety/ukonlinetutordb,1,Python,2011-04-20T09:42:16Z,2013-12-10T18:24:32Z,http://www.mysociety.org,False,UK Online Tutor Database
mysociety,whatdotheyknow-theme,mysociety/whatdotheyknow-theme,11,HTML,2011-06-14T07:48:38Z,2015-04-20T13:47:10Z,http://www.whatdotheyknow.com/,False,The WhatDoTheyKnow theme for Alaveteli
mysociety,petitionyourcouncil,mysociety/petitionyourcouncil,6,Python,2011-06-17T14:21:48Z,2014-07-22T12:04:20Z,http://www.petitionyourcouncil.com,False,Portal to council petition websites
mysociety,pombola,mysociety/pombola,44,Python,2011-07-04T08:46:51Z,2015-11-17T10:30:45Z,http://www.mysociety.org/projects/parliamentarymonitoring/pombola/,False,Pombola is a parliamentary monitoring (PMO) platform; its biggest instances are Mzalendo.com and pa.org.za
mysociety,gaze,mysociety/gaze,3,Perl,2011-07-20T09:22:25Z,2015-03-07T01:00:47Z,http://gaze.mysociety.org/,False,The mySociety Gazetteer web service
mysociety,hassleme,mysociety/hassleme,5,Perl,2011-07-27T14:11:14Z,2015-03-09T10:54:39Z,http://www.hassleme.co.uk/,True,"Because sometimes in life, you just need to be nagged..."
